Username,Comment,Likes
rendyyuta,Bro's job is apply a job,0
redic_011,Bro's full time job is to apply to jobs,0
yahabibisemsem,"13,976 likes",0
yb_ethan688,I need to see bros qualifications😭,0
akarshrajm,Forget job. You need sleep 😭😭😭,0
yash_shrivastava15,Ya so bro applying 19 jobs per sec,0
celestial_carbon_v2,Bro is breaking the economy rn 😭,0
samuelmorgannn,"2,503 likes",0
hhyper_novaa,I’ve applied to multiple thousands of jobs in the past 2 years and I have gotten an interview from 2… got rejected by both.  My success rate statistic is 0.07% NOT EVEN ONE PERCENT,0
z0e_xoxo,you applying to 1 billion jobs by the next post? 😭😭,0
nicholassilvahorvat,I applied for 10 trillion and they all got back to me,0
idon.tknowwhati.mdoing__,"5,827 likes",0
smud.gud,"""job benefits? The benefit is you get a job!""",0
rohan.sells,Thank you for interviewing for the final round of the janitor role! 😭,0
tactblast,"Is he looking for that 6 figure+ accountant, over 6’, blue eyes, and loves kids?!?!",0
clippingszn,Most genius ad no one noticed 👏,0
patrick_722_,Bro is breaking the job market😭,0
elena_loves_to_draw,“One of them was a scam” I felt that in my BONES,0
papp.david_kraterkukac,"This seems a bit much, I think only 271k applications are possible",0
bentoemanuelreal,Why go through all of this trouble? You should have just walked into an office and given them a firm handshake 🙄,0
chartersamster,bros job is to apply for jobs 😭,0
donbasalen,Bro you need to learn how to lie,0
government_hired_spy,"10 million job applications? In a year? Bro, a year has just 3,15,36000 seconds, it means one job application per 3.1536 seconds",0
leonkodheli,"""So you're telling me there's a chance""",0
masudannurrohan,Bro taking our jobs also...,0
lionardv__,"36,967 likes",0
subh._.subh._.bolo,That older student guy from every Japanese cartoon😭,0
thelipstickgirly,Bro has a title : “ unemployed final boss “,0
hightechtorres,"When you don't have a job, getting a job is now your full-time job",0
ezpzlemonn,"200 years later : Bro, I've already applied to 1 trillion jobs on Earth and 5 million on Mars.",0
adam.belaziz_,Thats a 0.00001900895538948% chance of getting a job,0
e.lchepe,Lets see the resume 🤔,0
d_money_q,Gen z needs to work harder  Us Gen z- exhibit A,0
sxvastian_cde001,"11,224 likes",0
oryxstoyotacamry,"Ok, I’m sure we all know this, but this is not possible to do unless he’s using bots. If we take this at face value and say it is 10.5mil applications, across 365 days, 24 hrs per day, 60 min per hour and 60 sec per min that comes out to 1 job application every 3 seconds. If we then account for time to sleep, let’s be generous and say 6 hrs a night on average, and then 30 min per day to eat, that comes to 1 application every 2 seconds. I get that this is an Ad (which you are required to disclose legally 47 U.S code 317 applied to all internet uploads) but this is absurd.",0
okaypratz_,Acceptance rate is 1 in 10 million oh my lord 😭😭😭😭,0
glic_x,Jobright: 20 Euro a month 😭,0
matthattenismycity,Bruh don’t let my mom watch this,0
srooshhkurdhh,WTH is a 2nd interview????,0
perodyser,Yeah autoapplying. Obviously you get ghosted. Why would they take someone that doesnt even want to put the work in to do the Applikation by themselfes. Litterally your fault for using autoapplications,0
useskipscreen,"No more resumes lost in inboxes. With SkipScreen, your skills & personality shine.",0
joshuadotpowers,I mean yeah having double black eyes isn’t gunna help you move from round one to round two,0
cleitonj.timbe,😂😂😂,0
consti.207,aint no way😭🥀,0
palys.michal,“Are you in any other processes right now?”,0
aalex_rivaas,Holy unemployment,0
c0c0nut97,He blurred up job as a slur,0
ijustsomehatter,just try 10 more,0
ethans_b5,I'm at like the same it's fun probably easily 10000 jobs I've applied for in the past 5 months,0
mr_rho__,rookie numbers,0
omar.amgad_8742,Do you know what sleep is ?,0
ceramic.media,2.85159x10^-7 chance of getting a job btw,0
cutelittlehabiba,"at this point just do OF, just do it like me 🥀",0
chill._.guy51,1 in 3.33 million chance to get a regular job is diabolical 🥀💔🙏,0
ichannnnn____,@azmihmzh dawg,0
@azmihmzh,@azmihmzh dawg,0
coolsparks911,Try Victoria aus,0
rikunatsu_,Situasi Indonesia:,0
czyz_by_anna,H-how... how is this even possible?,0
mrr__sylva,Bro got the full time job applicant job,0
9e_triangle,"Even if we say u somehow applied to 10 mil jobs. 11,813 interview is 30.5 interviews a day 😂😂",0
banor_jr,Ain’t no way😭😂,0
tiger_pres,"""10 million"" just go dig some fields in africa atp😭🥀",0
noble_n11,Might as well start scamming at this point,0
prvd.thbd,Tinder stats,0
connor_c05,This is a YOU problem,0
aj.amvane,@helfa_bbg terrifiant,0
@helfa_bbg,@helfa_bbg terrifiant,0
sndalaa__,Larry from TAWOG,0
hero_zx1,How tf bro have 0.0000333% chance to get a jobe,0
vagor_night,His eye bags have eye bags too 😭😭😭,0
hunter_wessel_,3/10 million…unreal,0
_ttd1712,bros larry from gumball,0
superquesty,You added the filter bro 🥀,0
por.eso_priyanshu,Aur do modi ko vote,0
zmike.e,Bro's job was to get a job 😭,0
haadiqur,what this guy is telling me is that this app can get me to apply but the turnout rates are awful,0
andre_mas__,🔥🔥🔥,0
axel_ebl,@micode encore pire que les résultats que ta vidéo sur les 10 000 CV,0
@micode,@micode encore pire que les résultats que ta vidéo sur les 10 000 CV,0
prinz3216,It's because most of them use ai sensors that automatically reject interview with ai,0
yahia_not_found,"Math aint mathing 10,520,439 in 365 days is a bit wth unless u automate it : suppose you had 6 hours of sleep per day (since ur jobless i'd assume more but ur eyes are telling me that its doable) let's also assume that except that only 2 hours of your life are taken by other activities like eating , basic needs , touching some grass (iykwim) u'd end up with 16 hours daily 16×365(days)×60(minutes/hour)×60(seconds/min)= 21 mil seconds so 1 out of 2 seconds if your existence you are applying , without taking into consideration cover letters, connection latency, typing speed etc... (Yes I touch grass🤓)",0
laurence.kuo,how do you even keep track of all the apps you should be a data scientist,0
ross._.victoria,Dating app odds,0
poopsnort1000,That filter ain't slick,0
o_ducem_bine,Js go gambling atp🫩,0
yosia_yuyu,Ok so 0.000000003%,0
louis_b_verstappenf1,Jobaholic🥀,0
jyhace,Infinity war ahh job application,0
hmy___._.___,Wait… how to auto apply?,0
belal__mans,Well if youre applying to everything then ur probably not qualified for the vast majority of them?,0
exhaustedpipel,Is this real😭,0
faiqxof,Go homeless bro🥀😭,0
meytriun,Damn i thought the bags under my eyes were bad GAH DAMN,0
zuckaber_nineteen,At this just opened a business dawg 😭😭,0
_rishu7x,Bro hasn't slept for years,0
dudutv1964,😂😂,0
mahdi_with_a,Quick question : what are these types of graphs called?,0
lectriweb,Imaging lossing that job bro nothing for you,0
chinemerem,😂😂😂 How many seconds are there in a year,0
eden_ngai,Bro just apply the military they’ ll love you and welcome you,0
